Test port is 23999...
Primary address: 10.0.2.15...
MODE       PROTO  REUSE      ADDRESS1         ADDRESS2         -> RESULT
(none)     TCP    (none)     0.0.0.0          0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    (none)     0.0.0.0          127.0.0.1        ->  Error! (Address already in use)
(none)     TCP    (none)     0.0.0.0          10.0.2.15        ->  Error! (Address already in use)
(none)     TCP    (none)     127.0.0.1        0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    (none)     127.0.0.1        127.0.0.1        ->  Error! (Address already in use)
(none)     TCP    (none)     127.0.0.1        10.0.2.15        ->  OK
(none)     TCP    (none)     10.0.2.15        0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    (none)     10.0.2.15        127.0.0.1        ->  OK
(none)     TCP    (none)     10.0.2.15        10.0.2.15        ->  Error! (Address already in use)
(none)     TCP    Addr(1)    0.0.0.0          0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    Addr(1)    0.0.0.0          127.0.0.1        ->  Error! (Address already in use)
(none)     TCP    Addr(1)    0.0.0.0          10.0.2.15        ->  Error! (Address already in use)
(none)     TCP    Addr(1)    127.0.0.1        0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    Addr(1)    127.0.0.1        127.0.0.1        ->  Error! (Address already in use)
(none)     TCP    Addr(1)    127.0.0.1        10.0.2.15        ->  OK
(none)     TCP    Addr(1)    10.0.2.15        0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    Addr(1)    10.0.2.15        127.0.0.1        ->  OK
(none)     TCP    Addr(1)    10.0.2.15        10.0.2.15        ->  Error! (Address already in use)
(none)     TCP    Addr(2)    0.0.0.0          0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    Addr(2)    0.0.0.0          127.0.0.1        ->  Error! (Address already in use)
(none)     TCP    Addr(2)    0.0.0.0          10.0.2.15        ->  Error! (Address already in use)
(none)     TCP    Addr(2)    127.0.0.1        0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    Addr(2)    127.0.0.1        127.0.0.1        ->  Error! (Address already in use)
(none)     TCP    Addr(2)    127.0.0.1        10.0.2.15        ->  OK
(none)     TCP    Addr(2)    10.0.2.15        0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    Addr(2)    10.0.2.15        127.0.0.1        ->  OK
(none)     TCP    Addr(2)    10.0.2.15        10.0.2.15        ->  Error! (Address already in use)
(none)     TCP    Addr(1&2)  0.0.0.0          0.0.0.0          ->  OK
(none)     TCP    Addr(1&2)  0.0.0.0          127.0.0.1        ->  OK
(none)     TCP    Addr(1&2)  0.0.0.0          10.0.2.15        ->  OK
(none)     TCP    Addr(1&2)  127.0.0.1        0.0.0.0          ->  OK
(none)     TCP    Addr(1&2)  127.0.0.1        127.0.0.1        ->  OK
(none)     TCP    Addr(1&2)  127.0.0.1        10.0.2.15        ->  OK
(none)     TCP    Addr(1&2)  10.0.2.15        0.0.0.0          ->  OK
(none)     TCP    Addr(1&2)  10.0.2.15        127.0.0.1        ->  OK
(none)     TCP    Addr(1&2)  10.0.2.15        10.0.2.15        ->  OK
(none)     TCP    Port(1)    0.0.0.0          0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    Port(1)    0.0.0.0          127.0.0.1        ->  Error! (Address already in use)
(none)     TCP    Port(1)    0.0.0.0          10.0.2.15        ->  Error! (Address already in use)
(none)     TCP    Port(1)    127.0.0.1        0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    Port(1)    127.0.0.1        127.0.0.1        ->  Error! (Address already in use)
(none)     TCP    Port(1)    127.0.0.1        10.0.2.15        ->  OK
(none)     TCP    Port(1)    10.0.2.15        0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    Port(1)    10.0.2.15        127.0.0.1        ->  OK
(none)     TCP    Port(1)    10.0.2.15        10.0.2.15        ->  Error! (Address already in use)
(none)     TCP    Port(2)    0.0.0.0          0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    Port(2)    0.0.0.0          127.0.0.1        ->  Error! (Address already in use)
(none)     TCP    Port(2)    0.0.0.0          10.0.2.15        ->  Error! (Address already in use)
(none)     TCP    Port(2)    127.0.0.1        0.0.0.0          ->  Error! (Address already in use)
(none)     TCP    Port(2)    127.0.0.1        127.0.0.1        ->  Error! (Address already in use)
